zenodo_id,doi,zenodo_url,title,creators,publication_date,file_count,extracted_chars
10487759,10.5281/zenodo.10487759,https://zenodo.org/records/10487759,"CoARA Action Plan 2023. University of Andorra, Andorra","Cerrato-Rodriguez, Barbara; Larraz Rada, Virginia",2024-01-11,1,16246
10560904,10.5281/zenodo.10560904,https://zenodo.org/records/10560904,University of Luxembourg CoARA Action Plan,University of Luxembourg,2024-01-24,1,8883
10611021,10.5281/zenodo.10611021,https://zenodo.org/records/10611021,CoARA Action Plan for the ZHAW Zurich University of Applied Sciences,"Jaekel, Martin; Šimukovič, Elena",2024-02-02,1,17860
10616969,10.5281/zenodo.10616969,https://zenodo.org/records/10616969,CoARA Action Plan 2024 - 2027 Metropolia University of Applied Sciences,Metropolia University of Applied Sciences,2024-02-05,1,6580
10634416,10.5281/zenodo.10634416,https://zenodo.org/records/10634416,University of Rijeka Reform of Research Assessment: CoARA Action Plan 2024–2027,"Zelenika, Saša; Jakominić Marot, Nataša",2024-01-24,1,37141
10686891,10.5281/zenodo.10686891,https://zenodo.org/records/10686891,Swedish Higher Education Authority - CoARA Action plan,Swedish Higher Education Authority,2024-02-21,1,10883
10688761,10.5281/zenodo.10688761,https://zenodo.org/records/10688761,AgroParisTech Action Plan in the context of the CoARA Agreement,"Pery, Alexandre",2024-02-21,1,4999
10708508,10.5281/zenodo.10708508,https://zenodo.org/records/10708508,"CoARA Report and Action Plan 2022-2024 from SUHF, Sweden","Alberius, Lars",2024-02-26,1,3190
10801320,10.5281/zenodo.10801320,https://zenodo.org/records/10801320,Petre Shotadze Tbilisi Medical Academy - CoARA Action Plan,Petre Shotadze Tbilisi Medical Academy,2024-03-10,1,14698
10843655,10.5281/zenodo.10843655,https://zenodo.org/records/10843655,EU-LIFE CoARA Action Plan,"Agostinho, Marta; Uribesalgo, Iris; Policy Task Force; Strategy Group",2024-04-11,1,5961
10864466,10.5281/zenodo.10864466,https://zenodo.org/records/10864466,INORMS Research Evaluation Group CoARA Action Plan,INORMS Research Evaluation Group,2024-03-23,1,18188
10886072,10.5281/zenodo.10886072,https://zenodo.org/records/10886072,University of Milano-Bicocca CoARA Action Plan,"University of Milano-Bicocca; Biancu, Bonaria",2024-03-25,1,6218
10911057,10.5281/zenodo.10911057,https://zenodo.org/records/10911057,"CoARA Action Plan - University of Central Lancashire, United Kingdom","McCaig, Allison",2024-04-03,1,22299
10911186,10.5281/zenodo.10911186,https://zenodo.org/records/10911186,Aalborg University Action Plan in the context of the CoARA Agreement,"Melchiorsen, Poul Meier; Bennike, Kathrine Bjerg",2024-04-03,1,21055
10924985,10.5281/zenodo.10924985,https://zenodo.org/records/10924985,CoARA Action Plan 2024-2027. Universitat Oberta de Catalunya,"Martínez-Samper, Pastora; Wilson, Julie; Garcia-Font, Víctor; Rodríguez-Giralt, Israel; Aguilera Caballero, Bego",2024-03-04,3,64576
10930922,10.5281/zenodo.10930922,https://zenodo.org/records/10930922,CoARA Action Plan Technische Universität Braunschweig,Technische Universität Braunschweig,2024-04-05,1,12957
10952414,10.5281/zenodo.10952414,https://zenodo.org/records/10952414,CoARA Action Plan 2023-2027. Turku University of Applied Sciences,"Roininen, Milla; Virtanen, Mirva; Krappe, Johanna; Tuikka, Anne-Marie",2024-04-10,1,17354
10954063,10.5281/zenodo.10954063,https://zenodo.org/records/10954063,Knowledge Foundation CoARA Action Plan First Year April 10 2024,Yvonne Fors,2024-04-10,1,22040
10955492,10.5281/zenodo.10955492,https://zenodo.org/records/10955492,CoARA Action plan 2024 - 2027 Lapland UAS,"Keränen, Hannele",2024-04-10,1,19554
10985757,10.5281/zenodo.10985757,https://zenodo.org/records/10985757,Aalto University's Commitments to Developing the CoARA Action Plan,"Bingham, Ella; Hyrkkänen, Anna-Kaisa; Liinalaakso, Virpi; Ämmälahti, Erja",2024-04-17,1,14851
10993576,10.5281/zenodo.10993576,https://zenodo.org/records/10993576,"CoARA Action Plan, Swiss Academies of Arts and Sciences, Switzerland",Swiss Academies of Arts and Sciences,2024-04-18,1,6049
11024893,10.5281/zenodo.11024893,https://zenodo.org/records/11024893,Research Council of Finland – CoARA Action Plan,"Valosaari, Kata-Riina; Research Council of Finland",2024-04-18,1,10418
11045182,10.5281/zenodo.11045182,https://zenodo.org/records/11045182,ISGlobal's Research Assessment Reform Action Plan 2024-2027,Barcelona Institute for Global Health,2024-04-23,1,5318
11046942,10.5281/zenodo.11046942,https://zenodo.org/records/11046942,Seinäjoki University of Applied Sciences Coara Action Plan,"Varamäki, Elina",2024-04-23,1,18813
11071196,10.5281/zenodo.11071196,https://zenodo.org/records/11071196,Science Europe Action Plan Supporting CoARA 2024,"Morris, James; Borrell-Damián, Lidia",2024-04-26,1,14401
11072261,10.5281/zenodo.11072261,https://zenodo.org/records/11072261,CoARA Action Plan Hanken School of Economics 2024,"Elander, Jenny; Helkkula, Anu; Kovács, Gyöngyi",2024-04-26,1,12917
11085081,10.5281/zenodo.11085081,https://zenodo.org/records/11085081,Action Plan by the European Commission to implement the ten commitments of the Agreement on Reforming Research Assessment (ARRA),"European Commission, Directorate-General for Research and Innovation",2024-04-29,1,12641
11086818,10.5281/zenodo.11086818,https://zenodo.org/records/11086818,CoARA Action Plan. Universitat Jaume I de Castelló (Spain),Jaume I University,2024-04-29,1,20020
11103428,10.5281/zenodo.11103428,https://zenodo.org/records/11103428,Tampere University CoARA Action Plan,"Ihonen, Markku",2024-05-02,1,21278
11103969,10.5281/zenodo.11103969,https://zenodo.org/records/11103969,Tampere University CoARA Action Plan,"Ihonen, Markku",2024-05-02,1,21278
